ID,Fecha,Cliente,Producto,Rating,Comentario
1,2026-01-05,Micaela R.,Remera estampada,4,"Hermoso el vestido, superó mis expectativas, llegó justo para el evento."
2,2026-01-06,Franco C.,Vestido casual,5,"Hermoso el vestido, superó mis expectativas, llegó justo para el evento."
3,2026-01-11,Camila T.,Campera de jean,1,"Muy decepcionada con la compra, no la recomiendo."
4,2026-01-15,María G.,Vestido de fiesta,2,La tela se ve más barata de lo que se muestra en las fotos.
5,2026-01-17,Valentina S.,Zapatillas urbanas,5,"Llegó mucho antes de lo esperado, en 3 días ya lo tenía en mi casa."
6,2026-01-17,Ezequiel V.,Campera de jean,5,Compré 2 remeras en talles distintos y ambas calzaron justo como esperaba.
7,2026-01-18,Rocío M.,Campera inflable,5,"El talle me quedó perfecto, tal cual la guía de talles de la web."
8,2026-01-21,Santiago S.,Campera de jean,5,"La calidad de la tela es excelente, mucho mejor de lo que pensé por el precio."
9,2026-01-21,Ignacio P.,Buzo canguro,5,"Ya lavé la campera varias veces y no se destiñó ni se deformó, muy buena calidad."
10,2026-01-22,Julieta S.,Campera inflable,1,"El envío tardó casi 3 semanas, mucho más de lo prometido."
11,2026-01-25,Juan P.,Vestido casual,5,"El talle me quedó perfecto, tal cual la guía de talles de la web."
12,2026-01-25,Valentina S.,Vestido casual,2,Escribí varias veces por WhatsApp y tardaron días en contestar.
13,2026-01-27,Federico A.,Vestido de fiesta,5,"El envío fue rapidísimo y llegó todo perfecto, sin ningún daño."
14,2026-01-28,Rocío M.,Jean chupín,4,"Repetí compra, siempre quedo conforme con todo."
15,2026-02-04,Carlos R.,Campera de jean,1,"El talle me quedó chico, la guía de talles no es real."
16,2026-02-04,Micaela R.,Remera estampada,5,"El talle me quedó perfecto, tal cual la guía de talles de la web."
17,2026-02-05,Juan P.,Buzo canguro,5,"La atención por Instagram fue excelente, me respondieron todas las dudas al toque."
18,2026-02-05,Julieta S.,Campera inflable,4,"Ya lavé la campera varias veces y no se destiñó ni se deformó, muy buena calidad."
19,2026-02-08,María G.,Vestido de fiesta,2,Me pareció carísimo para la calidad que tiene la prenda.
20,2026-02-08,Franco C.,Vestido casual,1,Escribí varias veces por WhatsApp y tardaron días en contestar.
